Name,Account Name,Account Industry,Net Revenue Per Quarter,Days Since Last Deal,New Customer,Successful Deals Closed,Will this customer continue to do business with us?
PXvScNzn,"United Oil & Gas, Singapore",Retail,98966,11,False,66,1
YOvsDkhe,Pyramid Construction Inc.,Retail,41618,11,False,29,1
cChHidjv,GenePoint,Healthcare,59290,358,False,75,1
OVBMkHrb,sForce,Technology,78578,-1,True,77,1
tAIUGcjk,Express Logistics and Transport,Retail,37236,565,False,77,1
WzhRQTLV,Edge Communications,Apparel,67832,464,False,75,1
bSosWpgj,Dickenson plc,Electronics,37070,420,False,73,1
sksTMnaW,Edge Communications,Chemicals,22292,194,False,26,1
oRmOcGXl,Burlington Textiles Corp of America,Government,35523,666,False,7,1
uuGwZtCo,Pyramid Construction Inc.,Chemicals,52714,229,False,87,1
aYetxXAC,Express Logistics and Transport,Education,35292,584,False,49,1
DQcpAsnD,Burlington Textiles Corp of America,Education,82590,614,False,6,1
PTBSLdnu,Dickenson plc,Government,19761,-1,True,89,1
GTXYkGWi,GenePoint,Chemicals,47278,211,False,23,1
umhHfTHW,GenePoint,Consulting,48707,41,False,16,1
wMQpfzeE,Pyramid Construction Inc.,Chemicals,59521,74,False,34,1
pNVeCRQw,"United Oil & Gas, Singapore",Chemicals,55246,335,False,97,1
imtHpKmF,Burlington Textiles Corp of America,Banking,98692,-1,True,19,1
cngfYrth,Burlington Textiles Corp of America,Media,62421,55,False,65,0
JZuoKYAo,United Oil & Gas Corp.,Government,18975,31,False,25,0
clgjTSAE,"United Oil & Gas, UK",Banking,69880,67,False,29,1
ISQCqFjh,Grand Hotels & Resorts Ltd,Engineering,27064,-1,True,73,1
DbyOBUZI,"United Oil & Gas, UK",Consulting,58284,-1,True,77,1
FPxZwCHg,University of Arizona,Engineering,80974,126,False,95,1
RvFVLiSs,Dickenson plc,Finance,92690,443,False,44,1
iEjsdwAN,sForce,Healthcare,38195,160,False,69,1
oyrnRFuh,"United Oil & Gas, UK",Engineering,97492,143,False,74,1
rHVwNnec,Grand Hotels & Resorts Ltd,Electronics,34838,486,False,68,1
yJdODFcC,United Oil & Gas Corp.,Apparel,69084,-1,True,53,1
zTOLWenQ,Burlington Textiles Corp of America,Banking,39418,198,False,68,1
bZzlQsxv,"United Oil & Gas, Singapore",Government,47156,492,False,92,1
vRnBlzhr,Dickenson plc,Engineering,52175,415,False,66,1
lmgJcoMT,Burlington Textiles Corp of America,Media,54177,671,False,51,0
eUWWwaMY,Pyramid Construction Inc.,Engineering,7709,268,False,76,1
HNgVNXut,Burlington Textiles Corp of America,Engineering,97939,313,False,7,1
zTEMCAbi,United Oil & Gas Corp.,Engineering,84847,260,False,32,1
SHdmIcTP,Dickenson plc,Apparel,44133,308,False,31,1
msWIYCzr,Pyramid Construction Inc.,Technology,10205,534,False,69,1
WHwQpQiz,Grand Hotels & Resorts Ltd,Government,21091,0,False,61,1
LYroXkVl,United Oil & Gas Corp.,Retail,35612,270,False,42,1
xNVGBnpw,GenePoint,Engineering,47677,418,False,89,0
elyREtJo,Pyramid Construction Inc.,Healthcare,54350,746,False,65,1
nQFGySSE,GenePoint,Media,44811,403,False,99,0
vFhxLhdU,Pyramid Construction Inc.,Consulting,30626,198,False,25,1
ulsUKMCs,"United Oil & Gas, Singapore",Media,63497,86,False,80,1
ErYUcbsl,Grand Hotels & Resorts Ltd,Technology,51890,-1,True,84,1
LRGwtjFY,United Oil & Gas Corp.,Education,36248,19,False,39,1
gvkmMBvy,Dickenson plc,Healthcare,58442,536,False,95,0
LZUTrvKe,University of Arizona,Healthcare,22208,211,False,71,1
WcxZCgJI,University of Arizona,Technology,21077,-1,True,86,0
mokJSMQZ,Dickenson plc,Media,19092,750,False,70,1
UDnGcrbm,"United Oil & Gas, UK",Banking,72443,677,False,89,1
OsGGfCPd,Grand Hotels & Resorts Ltd,Media,59918,-1,True,45,1
EyZFHnSV,Dickenson plc,Engineering,56679,323,False,74,1
QnDFwLGD,Express Logistics and Transport,Media,54069,272,False,40,1
mLCPOufI,University of Arizona,Engineering,83091,780,False,16,1
xQsScsWG,United Oil & Gas Corp.,Technology,34913,360,False,70,1
LQZJnFPs,Pyramid Construction Inc.,Banking,37709,670,False,93,1
JOAYGldN,University of Arizona,Banking,45653,581,False,32,1
maYIiXph,Dickenson plc,Banking,5934,406,False,93,1
LcuAishx,Dickenson plc,Banking,42720,-1,True,66,0
jLuCmkTa,University of Arizona,Chemicals,37182,429,False,29,1
yFLlJTfX,Dickenson plc,Electronics,86289,271,False,83,1
SzEnWDYD,sForce,Education,91511,368,False,58,1
QcPdOogU,Burlington Textiles Corp of America,Banking,68867,259,False,4,1
fchoaazv,Dickenson plc,Education,15578,782,False,48,1
aZZHfcBG,"United Oil & Gas, Singapore",Chemicals,42452,405,False,50,1
hIUmUNJa,University of Arizona,Apparel,75488,-1,True,67,1
YDKsdrAY,University of Arizona,Apparel,52398,527,False,11,1
DhkLKLcI,Grand Hotels & Resorts Ltd,Healthcare,41921,610,False,16,1
mfeVzdno,sForce,Banking,58651,568,False,11,1
dlXRpPlU,United Oil & Gas Corp.,Education,22638,605,False,64,1
lyXhqxkL,"United Oil & Gas, Singapore",Education,83485,5,False,92,1
SPhbjBKb,"United Oil & Gas, UK",Banking,41984,578,False,60,1
mqIRttMz,University of Arizona,Media,44894,683,False,33,1
mDlLZyEQ,University of Arizona,Education,67206,296,False,28,1
CCeJtUsj,Dickenson plc,Healthcare,11333,627,False,49,1
fouohtIk,University of Arizona,Apparel,23332,362,False,12,1
zhHyHKed,Grand Hotels & Resorts Ltd,Electronics,56295,167,False,74,1
FYCqSKoU,Burlington Textiles Corp of America,Technology,96215,703,False,41,0
bAjsgwOt,Dickenson plc,Consulting,29511,166,False,6,1
JRBpaWkO,Dickenson plc,Government,99045,-1,True,7,1
lZqSkuXY,sForce,Engineering,44509,680,False,27,1
iSkTHouJ,Burlington Textiles Corp of America,Healthcare,85105,156,False,7,1
AdMPTHvE,sForce,Government,58932,92,False,54,1
jdurdIRh,"United Oil & Gas, UK",Healthcare,16791,-1,True,87,1
VoOyBwgR,United Oil & Gas Corp.,Technology,45052,522,False,94,0
oMFusezb,Edge Communications,Education,96287,629,False,59,1
nXnUgoKN,Grand Hotels & Resorts Ltd,Consulting,58932,442,False,55,1
AicerFsV,Pyramid Construction Inc.,Education,38615,548,False,50,1
cYTitrOO,sForce,Electronics,84273,705,False,24,1
FnbbbPkI,"United Oil & Gas, UK",Healthcare,36241,210,False,87,1
DptreJhk,Dickenson plc,Consulting,60634,375,False,80,1
oFdPySFG,"United Oil & Gas, Singapore",Consulting,56606,692,False,25,1
NuPXHhpa,Pyramid Construction Inc.,Technology,17903,259,False,97,1
yhDigGDp,United Oil & Gas Corp.,Banking,64748,403,False,62,0
BhUPPxKS,sForce,Chemicals,99655,227,False,80,1
uXAECxli,United Oil & Gas Corp.,Technology,98698,260,False,60,1
nklacZKm,"United Oil & Gas, UK",Electronics,26921,290,False,53,1
chOzoDtj,United Oil & Gas Corp.,Education,32452,286,False,38,1
qIlUYfsq,Grand Hotels & Resorts Ltd,Government,34643,184,False,38,1
HcbfPsRP,University of Arizona,Apparel,34352,487,False,23,1
qtrBCFGQ,Dickenson plc,Education,62872,239,False,38,1
BNAsaFJi,University of Arizona,Healthcare,76368,102,False,11,0
NjtVioPU,Burlington Textiles Corp of America,Technology,58688,77,False,42,1
oZoLsrqf,Express Logistics and Transport,Government,82144,269,False,25,1
pnWrXDvD,Pyramid Construction Inc.,Retail,57654,371,False,65,0
jDKbjwmc,"United Oil & Gas, UK",Chemicals,36278,508,False,93,0
NoRkqVLX,"United Oil & Gas, UK",Chemicals,3986,153,False,44,0
lMVjgfjP,"United Oil & Gas, UK",Electronics,63496,162,False,84,1
flSexBls,Pyramid Construction Inc.,Electronics,94456,466,False,10,0
AXqvRDFW,"United Oil & Gas, Singapore",Electronics,9535,577,False,96,1
sItijmNT,United Oil & Gas Corp.,Engineering,22443,481,False,55,1
sqULqdmb,Express Logistics and Transport,Healthcare,70918,49,False,28,1
MHrstbWn,United Oil & Gas Corp.,Apparel,7451,413,False,85,1
jzUvKLkY,"United Oil & Gas, UK",Engineering,14421,209,False,3,0
lvsSeIIL,"United Oil & Gas, UK",Technology,40459,418,False,98,1
bkaSAGxF,GenePoint,Finance,31478,432,False,83,1
HpcsFbWE,Pyramid Construction Inc.,Chemicals,16924,259,False,43,1
xnWPoSMK,"United Oil & Gas, Singapore",Finance,74911,678,False,37,1
ckPHguoR,Dickenson plc,Technology,6678,237,False,82,0
VIYdyxCA,Express Logistics and Transport,Technology,8869,590,False,53,1
MZnuRQmc,Express Logistics and Transport,Retail,76123,471,False,39,1
KcztPlEF,"United Oil & Gas, UK",Apparel,64360,618,False,90,1
CvEtCrcq,"United Oil & Gas, Singapore",Banking,30837,390,False,76,1
ENLRtfDJ,Pyramid Construction Inc.,Engineering,8924,268,False,98,1
tqhuhtWL,GenePoint,Apparel,86218,499,False,24,0
xVOtobou,GenePoint,Media,13776,-1,True,43,1
cnSgCunm,sForce,Retail,48323,-1,True,56,0
KyfgnbAd,Burlington Textiles Corp of America,Healthcare,85075,442,False,8,1
HEqyaOqL,Burlington Textiles Corp of America,Engineering,21030,-1,True,38,1
oGSpsyXH,United Oil & Gas Corp.,Electronics,77151,489,False,67,1
JHfUXxDN,University of Arizona,Banking,90512,308,False,100,1
qqfczYLQ,"United Oil & Gas, Singapore",Technology,75544,82,False,99,1
qhPJcNCO,Dickenson plc,Technology,4013,460,False,55,1
XLCwqHmw,sForce,Retail,92891,4,False,36,1
bHwUQdzO,"United Oil & Gas, UK",Electronics,77741,637,False,87,1
qgXkpVwZ,University of Arizona,Retail,62468,-1,True,80,0
GREcFAZy,Grand Hotels & Resorts Ltd,Retail,59119,776,False,3,1
dLzWDkIK,sForce,Finance,50851,189,False,6,1
FkwnhaMU,Edge Communications,Technology,25018,517,False,61,1
JpSUcIDu,University of Arizona,Electronics,45860,-1,True,23,0
ctfBEzEX,Express Logistics and Transport,Healthcare,86692,405,False,21,1
RUobXTUT,United Oil & Gas Corp.,Consulting,42371,785,False,12,1
FasSJHLa,Burlington Textiles Corp of America,Technology,24764,698,False,98,1
TuwNrjGl,"United Oil & Gas, UK",Retail,12088,140,False,33,1
oDEOWGOd,University of Arizona,Finance,35189,412,False,6,0
ngMGcIZc,Pyramid Construction Inc.,Electronics,61633,197,False,10,1
lPlPjUte,GenePoint,Finance,71661,200,False,65,1
QOnofyKX,Dickenson plc,Finance,94741,293,False,85,1
wbHVwEJS,GenePoint,Chemicals,63371,464,False,94,1
uBZHkMzt,"United Oil & Gas, UK",Government,64510,144,False,87,1
yexmaLUt,"United Oil & Gas, UK",Finance,29207,198,False,16,1
tqSrnRkl,"United Oil & Gas, Singapore",Electronics,94322,324,False,91,1
huvyjIto,"United Oil & Gas, UK",Chemicals,7837,795,False,15,1
sNnfqODc,Dickenson plc,Retail,22478,539,False,44,1
eZwBAHkx,Pyramid Construction Inc.,Technology,68537,-1,True,64,1
IfktnMyq,Grand Hotels & Resorts Ltd,Government,56498,711,False,9,1
TgTwDvZx,"United Oil & Gas, Singapore",Healthcare,64919,20,False,44,1
ipJXlIRD,University of Arizona,Engineering,90931,-1,True,16,0
RnFZdWnJ,sForce,Education,81698,172,False,37,1
dFGBOZIw,Express Logistics and Transport,Technology,10906,342,False,88,1
nSclEzuj,Edge Communications,Retail,43889,599,False,57,1
CbKZLzvp,Edge Communications,Chemicals,44277,-1,True,81,0
skSdhhyz,Express Logistics and Transport,Consulting,71436,521,False,1,1
OEbJKQQY,Grand Hotels & Resorts Ltd,Consulting,84643,618,False,37,1
iFpmWPWV,sForce,Consulting,25913,-1,True,93,0
YUbtrRqI,United Oil & Gas Corp.,Electronics,55447,-1,True,39,1
pbTkeIkC,"United Oil & Gas, UK",Consulting,79919,-1,True,73,1
OOyLBVCb,Express Logistics and Transport,Education,29132,352,False,37,1
usUMLVTq,GenePoint,Retail,98054,444,False,7,1
NKtrzchg,Pyramid Construction Inc.,Electronics,43738,766,False,24,1
OcPaabOq,Pyramid Construction Inc.,Retail,51450,745,False,25,1
cPeAkEcg,"United Oil & Gas, UK",Healthcare,30676,392,False,77,1
grrOYFNf,"United Oil & Gas, Singapore",Finance,80186,121,False,7,0
VMJWqVyB,Grand Hotels & Resorts Ltd,Media,65849,323,False,48,1
bMVrZcwx,sForce,Finance,16980,502,False,3,1
bZmbrwve,sForce,Consulting,69864,339,False,72,1
fHETqiMr,Dickenson plc,Engineering,22952,393,False,4,1
ktLWUzEK,Grand Hotels & Resorts Ltd,Media,24306,508,False,71,1
wTrNFXFp,Burlington Textiles Corp of America,Chemicals,14534,107,False,56,1
keDcKkxJ,"United Oil & Gas, UK",Healthcare,92732,60,False,82,1
BjqcObcB,GenePoint,Banking,77990,-1,True,9,1
RWTgwcZv,Grand Hotels & Resorts Ltd,Retail,25391,478,False,62,1
GvJLuOLY,Pyramid Construction Inc.,Banking,13024,381,False,5,1
SHfNqNqy,University of Arizona,Government,22449,231,False,62,0
XCJFyBlb,Dickenson plc,Consulting,19373,570,False,51,1
pQMQMOYZ,University of Arizona,Education,73953,92,False,80,0
hlVVhBjp,Express Logistics and Transport,Government,74633,-1,True,38,0
CQHuXPvM,University of Arizona,Healthcare,60657,318,False,11,1
deWJWXCw,Express Logistics and Transport,Finance,16746,699,False,63,1
rXFdIOjE,Edge Communications,Banking,49009,-1,True,3,0
DFtLaqXq,Express Logistics and Transport,Chemicals,72259,690,False,76,1
vnbMXHRW,Dickenson plc,Banking,32736,763,False,70,1
wxIiptBu,GenePoint,Apparel,24880,8,False,37,1
JdclYVZV,Dickenson plc,Healthcare,81941,246,False,90,0
wjDbFzRT,Burlington Textiles Corp of America,Education,95369,551,False,90,1
PkxSSfRE,Dickenson plc,Consulting,5537,481,False,48,1
dETwOvNs,Express Logistics and Transport,Media,46843,472,False,81,1
OzeJswZk,Dickenson plc,Electronics,35899,83,False,31,1
ZpWxRhqa,"United Oil & Gas, Singapore",Chemicals,37568,356,False,20,1
qJrQHBdE,Dickenson plc,Engineering,12501,328,False,42,1
LWbAqtCw,Pyramid Construction Inc.,Electronics,44650,347,False,90,1
uoMewTsU,United Oil & Gas Corp.,Government,94544,250,False,10,1
VkFpkAGV,sForce,Healthcare,19816,637,False,42,0
ttFmCxmI,Burlington Textiles Corp of America,Government,92312,398,False,57,1
rXJgqiUj,Edge Communications,Government,89213,635,False,85,1
HsNCiCqG,Dickenson plc,Education,94929,-1,True,59,1
jIcFGQcP,Burlington Textiles Corp of America,Banking,77546,658,False,67,1
UrqEzgNd,Pyramid Construction Inc.,Government,51329,133,False,27,1
YykNXJNi,"United Oil & Gas, Singapore",Healthcare,62628,-1,True,78,1
FVwgGQvK,Burlington Textiles Corp of America,Education,65134,667,False,44,0
DMuyJUeO,Edge Communications,Education,95277,538,False,84,1
lXzvQgMN,Grand Hotels & Resorts Ltd,Apparel,93797,42,False,33,1
oCAmpIWI,University of Arizona,Consulting,87021,619,False,76,1
xIETuvsO,University of Arizona,Finance,65227,375,False,5,0
JbdNbxno,"United Oil & Gas, UK",Retail,2755,704,False,87,1
VTOXtZUt,GenePoint,Retail,30402,311,False,44,1
bSHIQMSb,"United Oil & Gas, UK",Healthcare,80506,431,False,1,0
rPJQTEHy,Burlington Textiles Corp of America,Healthcare,63799,83,False,80,1
EgoEJJLk,University of Arizona,Finance,90217,-1,True,41,0
ueNRLOMe,"United Oil & Gas, UK",Engineering,61026,44,False,90,1
sYruNxVg,Pyramid Construction Inc.,Consulting,9891,208,False,51,1
KBqDRhbz,GenePoint,Consulting,56726,579,False,56,1
yRTkpwQg,sForce,Education,4615,34,False,33,1
GvjdvSNY,Grand Hotels & Resorts Ltd,Engineering,43311,249,False,50,0
ldzwmCQu,Edge Communications,Apparel,94688,219,False,43,1
frZJLpFT,Edge Communications,Education,77279,373,False,44,1
mbgtXFON,Express Logistics and Transport,Apparel,22330,373,False,18,1
LUvMUAJi,Express Logistics and Transport,Electronics,82985,236,False,97,1
VNcusxSk,United Oil & Gas Corp.,Technology,56047,563,False,15,1
RceNVVom,United Oil & Gas Corp.,Media,28464,631,False,27,1
jeCUWHor,Burlington Textiles Corp of America,Electronics,9266,430,False,9,1
OMQOMFby,GenePoint,Government,85153,722,False,42,0
bTeSxVye,Dickenson plc,Electronics,90114,296,False,85,1
YfxaBvHs,Express Logistics and Transport,Education,71018,491,False,54,1
FJouPRbc,Pyramid Construction Inc.,Retail,61615,-1,True,12,1
FDYARUsc,Grand Hotels & Resorts Ltd,Consulting,40776,544,False,64,1
ZiCBvnTz,University of Arizona,Education,29371,174,False,4,0
bpckwyOE,Express Logistics and Transport,Apparel,90349,317,False,6,1
XYiRhHvQ,Pyramid Construction Inc.,Government,13539,302,False,5,1
bHtBzSCX,"United Oil & Gas, Singapore",Finance,53936,373,False,64,1
HTOmRJBe,GenePoint,Electronics,15926,1,False,23,1
LWdVUEoW,United Oil & Gas Corp.,Engineering,48606,716,False,99,1
qcSFufCG,Grand Hotels & Resorts Ltd,Technology,65747,235,False,18,1
cipTUdCy,"United Oil & Gas, UK",Chemicals,23988,646,False,100,1
uqffitYm,Edge Communications,Retail,25450,256,False,84,1
kFmeOazb,sForce,Electronics,36933,153,False,74,0
ZViEnGwa,sForce,Technology,4471,-1,True,46,0
ywIMzNxD,Grand Hotels & Resorts Ltd,Finance,18530,-1,True,14,1
weAXVWut,"United Oil & Gas, UK",Apparel,90537,584,False,60,0
jvYWEQIM,Dickenson plc,Education,88641,346,False,40,1
rpZjHJMC,GenePoint,Banking,60990,147,False,65,0
rQEYbfDO,Grand Hotels & Resorts Ltd,Banking,61182,139,False,16,1
YuiONTGN,United Oil & Gas Corp.,Media,80530,106,False,18,1
kgFTsXJu,"United Oil & Gas, Singapore",Electronics,70987,30,False,54,0
aQoPjOHC,GenePoint,Apparel,7453,631,False,29,1
ofcDbJcd,United Oil & Gas Corp.,Retail,45771,316,False,50,1
jVXIDfBt,Express Logistics and Transport,Healthcare,54319,-1,True,7,1
DrGBmSBl,Dickenson plc,Chemicals,7772,754,False,5,1
JmdGnsYo,Edge Communications,Finance,66338,459,False,2,1
nidQRTMv,Dickenson plc,Technology,37451,183,False,56,0
dWMoihFS,Edge Communications,Media,69572,-1,True,90,1
ZkyGhhoY,Burlington Textiles Corp of America,Education,78407,732,False,46,1
okEYcXSF,Edge Communications,Chemicals,49890,235,False,97,0
hZutdHhQ,GenePoint,Education,99091,386,False,64,1
OvURcACQ,"United Oil & Gas, Singapore",Banking,34383,231,False,14,1
YXLWpeCk,Edge Communications,Banking,25793,564,False,98,0
znyBNhpo,Burlington Textiles Corp of America,Engineering,2978,784,False,89,0
TCbozTRT,Edge Communications,Government,18155,666,False,32,1
RUjWrIiJ,sForce,Government,58955,265,False,98,1
KOXLPhuy,Burlington Textiles Corp of America,Media,12145,376,False,53,1
pnbSCyPS,Express Logistics and Transport,Apparel,74256,513,False,22,1
GhvCHHzZ,Pyramid Construction Inc.,Banking,81051,760,False,45,1
FhJSknMA,Grand Hotels & Resorts Ltd,Engineering,45474,245,False,9,1
TWJgDUGN,"United Oil & Gas, UK",Engineering,32037,645,False,52,1
aYKDkHEW,"United Oil & Gas, Singapore",Retail,81379,478,False,73,1
OFYGJpfn,Burlington Textiles Corp of America,Consulting,87531,731,False,71,1
NwXMICQD,"United Oil & Gas, UK",Government,74583,221,False,3,1
TRZzpSys,sForce,Banking,17789,441,False,5,1
LetsXtYD,"United Oil & Gas, Singapore",Media,10371,270,False,4,1
tZeZaGBO,GenePoint,Consulting,94652,400,False,55,1
TAgETjrQ,United Oil & Gas Corp.,Retail,43362,427,False,75,1
syylAEDf,United Oil & Gas Corp.,Engineering,82560,462,False,14,0
gRxiduQN,Burlington Textiles Corp of America,Apparel,37163,387,False,81,0
gINCGkJQ,Express Logistics and Transport,Healthcare,36767,217,False,68,0
gGIZJIkv,Express Logistics and Transport,Electronics,67635,210,False,63,1
WqHCFUxb,United Oil & Gas Corp.,Consulting,87036,-1,True,26,1
CHnLpVkb,"United Oil & Gas, UK",Education,48044,504,False,17,1
igZKiSfK,sForce,Retail,43465,436,False,68,1
TNFiyXAS,Burlington Textiles Corp of America,Education,16590,458,False,65,1
DwFXbcTB,Express Logistics and Transport,Banking,61275,649,False,17,1
vDvkORjl,Express Logistics and Transport,Engineering,86485,222,False,85,1
xyfJlGCM,sForce,Chemicals,68384,21,False,78,1
ccFOMSVn,"United Oil & Gas, Singapore",Apparel,2964,393,False,100,1
iIyEVDik,sForce,Government,56299,43,False,33,1
YMVFXiSg,Burlington Textiles Corp of America,Consulting,60788,-1,True,96,1
vUdCoPXZ,Burlington Textiles Corp of America,Education,34351,587,False,39,1
iVBSzNzS,United Oil & Gas Corp.,Consulting,56978,584,False,50,1
MwWXUIaa,Burlington Textiles Corp of America,Government,66648,-1,True,57,1
acxTdcYF,sForce,Apparel,97863,311,False,35,1
znHGkvEf,Grand Hotels & Resorts Ltd,Media,19949,283,False,31,1
ICqxouHM,GenePoint,Engineering,99506,742,False,24,1
qBppPMTg,University of Arizona,Healthcare,23296,463,False,67,1
hraKYHbe,Pyramid Construction Inc.,Engineering,85384,463,False,1,1
WXjpkMQv,University of Arizona,Retail,6235,99,False,32,1
LAXbUOAy,United Oil & Gas Corp.,Healthcare,55732,653,False,16,1
xTbhgepi,sForce,Media,47328,132,False,70,1
ipRaKLIr,University of Arizona,Chemicals,39335,268,False,75,1
vZaCgLYg,Dickenson plc,Healthcare,90273,425,False,51,1
iXlmppeY,United Oil & Gas Corp.,Retail,78964,72,False,71,0
gaElNFRq,sForce,Government,46115,710,False,40,1
suVMOPPe,GenePoint,Education,8990,14,False,18,1
WJnXTRTQ,Dickenson plc,Media,17483,320,False,77,1
TXQslUYA,Edge Communications,Healthcare,98074,675,False,16,0
YQzGTNNj,Dickenson plc,Banking,9992,96,False,80,0
KSUYVigY,Express Logistics and Transport,Electronics,94084,589,False,1,1
CzZeIJwi,Burlington Textiles Corp of America,Banking,10941,-1,True,8,0
OMtesThT,Pyramid Construction Inc.,Electronics,75656,234,False,36,0
JRbmrpTP,Grand Hotels & Resorts Ltd,Electronics,47245,37,False,36,1
leFDuVLc,GenePoint,Finance,73799,368,False,91,1
mGbrvbnc,GenePoint,Chemicals,95723,34,False,79,1
mnsoULVe,sForce,Consulting,91556,103,False,43,1
OfhQABHD,Pyramid Construction Inc.,Healthcare,59213,439,False,37,1
CdhMTSYY,Burlington Textiles Corp of America,Media,66165,329,False,95,0
swITrnob,Edge Communications,Engineering,12341,-1,True,10,1
xsmjQMKZ,Pyramid Construction Inc.,Chemicals,18688,-1,True,56,1
mLjWnHdu,GenePoint,Technology,15607,186,False,89,1
tXeeDNOR,GenePoint,Education,17201,642,False,31,1
yDoDGvuh,Grand Hotels & Resorts Ltd,Media,93856,751,False,14,1
OEKiIaAj,Burlington Textiles Corp of America,Retail,88984,-1,True,80,1
vhnxEDhR,"United Oil & Gas, UK",Apparel,59875,124,False,41,1
ecRHfyih,GenePoint,Chemicals,52107,615,False,82,1
FpSuCAOD,"United Oil & Gas, UK",Government,15948,365,False,44,1
WDKEUSaV,"United Oil & Gas, UK",Retail,73042,92,False,98,0
NoHLEGEG,University of Arizona,Finance,7620,651,False,93,1
HMBfEJNe,United Oil & Gas Corp.,Government,86878,421,False,73,1
UhyKBofV,Edge Communications,Technology,24095,173,False,40,1
rKNckRys,Pyramid Construction Inc.,Apparel,79621,740,False,82,1
qArGTspm,GenePoint,Chemicals,32055,100,False,49,1
QfsnfPUX,"United Oil & Gas, Singapore",Chemicals,59870,460,False,74,1
GIiJaycv,sForce,Finance,81015,139,False,59,0
KnwtrYxU,Edge Communications,Education,1479,310,False,48,1
ofQfUiJF,Grand Hotels & Resorts Ltd,Engineering,69983,612,False,67,1
wklMQKDq,Grand Hotels & Resorts Ltd,Electronics,95415,97,False,17,0
VbbySLFy,Burlington Textiles Corp of America,Chemicals,97394,233,False,68,1
ZjCnUmCA,Pyramid Construction Inc.,Apparel,28154,35,False,20,1
jYFhgUUh,"United Oil & Gas, UK",Chemicals,63695,123,False,74,1
RhZTeefy,Dickenson plc,Technology,20249,561,False,58,1
mFoIiuwV,Grand Hotels & Resorts Ltd,Finance,64461,278,False,98,1
eMXGpQeM,University of Arizona,Consulting,69609,419,False,32,1
AHXedBOO,University of Arizona,Education,28109,443,False,37,1
KWcGjTfd,"United Oil & Gas, Singapore",Banking,13359,791,False,55,1
bxGkMxpi,Grand Hotels & Resorts Ltd,Government,76502,405,False,19,1
pnBZwuiX,"United Oil & Gas, UK",Chemicals,19521,426,False,19,1
dRzdkrCI,"United Oil & Gas, Singapore",Government,35519,-1,True,3,1
eYTLNbYZ,Burlington Textiles Corp of America,Education,9528,428,False,54,1
HTeaKgfZ,"United Oil & Gas, UK",Engineering,2439,49,False,93,1
RZsJXmGn,GenePoint,Retail,84127,585,False,20,1
JiGwDdLN,University of Arizona,Media,47683,86,False,28,1
pyDbhvOI,Grand Hotels & Resorts Ltd,Finance,20328,224,False,82,1
DRDTTRai,"United Oil & Gas, UK",Electronics,41967,-1,True,74,1
cGXRAzCC,Pyramid Construction Inc.,Healthcare,3124,352,False,66,1
pQtThITH,Express Logistics and Transport,Finance,75431,771,False,69,1
LhMeMlcm,Edge Communications,Healthcare,47861,52,False,23,1
obKwALoj,Express Logistics and Transport,Consulting,42725,436,False,33,1
